Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Exchange
FLEX,Flex Ltd.,17.43,$9.24B,1994,Technology,Electrical Products,NASDAQ
FLKS,"Flex Pharma, Inc.",3.43,$61.64M,2015,Health Care,Major Pharmaceuticals,NASDAQ
FLXN,"Flexion Therapeutics, Inc.",17.17,$545.28M,2014,Health Care,Major Pharmaceuticals,NASDAQ
SKOR,FlexShares Credit-Scored US Corporate Bond Index Fund,50.98,$40.78M,n/a,n/a,n/a,NASDAQ
LKOR,FlexShares Credit-Scored US Long Corporate Bond Index Fund,52.88,$13.22M,n/a,n/a,n/a,NASDAQ
MBSD,FlexShares Disciplined Duration MBS Index Fund,24.13,$36.2M,n/a,n/a,n/a,NASDAQ
ASET,FlexShares Real Assets Allocation Index Fund,27.76,$3.47M,n/a,n/a,n/a,NASDAQ
ESGG,FlexShares STOXX Global ESG Impact Index Fund,87.47,$8.75M,n/a,n/a,n/a,NASDAQ
ESG,FlexShares STOXX US ESG Impact Index Fund,57.0597,$8.56M,n/a,n/a,n/a,NASDAQ
QLC,FlexShares US Quality Large Cap Index Fund,29.8,$23.84M,n/a,n/a,n/a,NASDAQ
FPAY,"FlexShopper, Inc.",4.2,$22.21M,n/a,Technology,Diversified Commercial Services,NASDAQ
FLXS,"Flexsteel Industries, Inc.",51.99,$406.31M,n/a,Consumer Durables,Home Furnishings,NASDAQ
FLIR,"FLIR Systems, Inc.",38.13,$5.2B,1993,Capital Goods,Industrial Machinery/Components,NASDAQ
FLDM,Fluidigm Corporation,4.6,$134.76M,2011,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
FFIC,Flushing Financial Corporation,27.71,$798.36M,n/a,Finance,Major Banks,NASDAQ
FNBG,FNB Bancorp,28.9,$211.51M,n/a,Finance,Major Banks,NASDAQ
FOMX,Foamix Pharmaceuticals Ltd.,4.68,$174.21M,2014,Consumer Durables,Specialty Chemicals,NASDAQ
FOGO,"Fogo de Chao, Inc.",13.875,$391.45M,2015,Consumer Services,Restaurants,NASDAQ
FONR,Fonar Corporation,27,$170.91M,1981,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,NASDAQ
FH,FORM Holdings Corp.,1.6848,$32.96M,n/a,Miscellaneous,Multi-Sector Companies,NASDAQ
FORM,"FormFactor, Inc.",14.4,$1.04B,2003,Technology,Semiconductors,NASDAQ
FORTY,Formula Systems (1985) Ltd.,40.2,$592.1M,n/a,Technology,EDP Services,NASDAQ
FORR,"Forrester Research, Inc.",38.9,$690.01M,1996,Consumer Services,Diversified Commercial Services,NASDAQ
FRTA,"Forterra, Inc.",7.54,$483.61M,2016,Capital Goods,Building Materials,NASDAQ
FTNT,"Fortinet, Inc.",39.36,$6.92B,2009,Technology,Computer peripheral equipment,NASDAQ
FBIO,"Fortress Biotech, Inc.",4.09,$205.86M,n/a,Health Care,Major Pharmaceuticals,NASDAQ
FMCI,Forum Merger Corporation,9.71,$217.09M,2017,Finance,Business Services,NASDAQ
FMCIR,Forum Merger Corporation,0.36,n/a,2017,Finance,Business Services,NASDAQ
FMCIU,Forum Merger Corporation,10.23,n/a,2017,Finance,Business Services,NASDAQ
FMCIW,Forum Merger Corporation,0.401,n/a,2017,Finance,Business Services,NASDAQ
FWRD,Forward Air Corporation,53.08,$1.6B,n/a,Transportation,Oil Refining/Marketing,NASDAQ
FORD,"Forward Industries, Inc.",1.11,$9.75M,n/a,Consumer Non-Durables,Plastic Products,NASDAQ
FWP,Forward Pharma A/S,19.48,$919.14M,2014,Health Care,Major Pharmaceuticals,NASDAQ
FOSL,"Fossil Group, Inc.",11.02,$534.08M,1993,Consumer Non-Durables,Consumer Specialties,NASDAQ
FMI,"Foundation Medicine, Inc.",40.6,$1.45B,2013,Health Care,Medical Specialities,NASDAQ
FOXF,Fox Factory Holding Corp.,32.675,$1.22B,2013,Consumer Non-Durables,Motor Vehicles,NASDAQ
FRAN,Francesca&#39;s Holdings Corporation,12.12,$444.37M,2011,Consumer Services,Clothing/Shoe/Accessory Stores,NASDAQ
FELE,"Franklin Electric Co., Inc.",40.325,$1.87B,n/a,Consumer Durables,Metal Fabrications,NASDAQ
FRED,"Fred&#39;s, Inc.",13.6,$517.49M,1992,Consumer Services,Department/Specialty Retail Stores,NASDAQ
RAIL,"Freightcar America, Inc.",16.63,$206.55M,2005,Capital Goods,Railroads,NASDAQ
FEIM,"Frequency Electronics, Inc.",9.8,$85.55M,n/a,Capital Goods,Electrical Products,NASDAQ
FRPT,"Freshpet, Inc.",15.65,$533.9M,2014,Consumer Non-Durables,Packaged Foods,NASDAQ
FTEO,"FRONTEO, Inc.",14.4,$273.03M,2013,n/a,n/a,NASDAQ
FTR,Frontier Communications Corporation,1.28,$1.51B,n/a,Public Utilities,Telecommunications Equipment,NASDAQ
FTRPR,Frontier Communications Corporation,33.14,n/a,n/a,Public Utilities,Telecommunications Equipment,NASDAQ
FRPH,"FRP Holdings, Inc.",43,$427.47M,n/a,Finance,Real Estate,NASDAQ
FSBW,"FS Bancorp, Inc.",45.6371,$139.89M,2012,Finance,Banks,NASDAQ
FSBC,"FSB Bancorp, Inc.",14.925,$28.98M,n/a,Finance,Savings Institutions,NASDAQ
FTD,"FTD Companies, Inc.",18.335,$503M,n/a,Consumer Services,Other Consumer Services,NASDAQ
FTEK,"Fuel Tech, Inc.",0.839,$19.92M,n/a,Capital Goods,Pollution Control Equipment,NASDAQ
FCEL,"FuelCell Energy, Inc.",1.13,$67.17M,n/a,Miscellaneous,Industrial Machinery/Components,NASDAQ
FLGT,"Fulgent Genetics, Inc.",6.1,$107.92M,2016,Health Care,Medical Specialities,NASDAQ
